,24-Hour Passes,3-Day Passes,Date,Miles Traveled Today,Total Annual Members,Trips over the past 24-hours
0,1466,76,4/1/19,75072,303223,51399
1,1483,73,4/2/19,83399,303386,57903
2,3013,79,4/3/19,108780,303552,67924
3,2633,87,4/4/19,104268,303699,66403
4,812,46,4/5/19,46930,303766,34470
5,8852,139,4/6/19,143054,303958,66532
6,8191,87,4/7/19,138291,304216,64713
7,3804,89,4/8/19,123304,304525,70514
8,1684,79,4/9/19,86248,304677,59336
9,2845,116,4/10/19,112985,304865,70988
10,2222,93,4/11/19,93232,305003,62430
11,2811,118,4/12/19,92517,305134,58010
12,10443,128,4/13/19,159264,305362,71500
13,7263,119,4/14/19,123470,305584,58474
14,1816,75,4/15/19,71673,305722,45663
15,3197,134,4/16/19,106799,305906,63323
16,3276,89,4/17/19,109668,306077,65249
17,2845,104,4/18/19,98909,306205,61568
18,5782,271,4/19/19,120796,306365,64939
19,4049,115,4/20/19,68489,306453,36785
20,7439,140,4/21/19,114490,306647,51869
21,3426,69,4/22/19,71869,306827,44112
22,5928,202,4/23/19,143334,307082,75443
23,5868,135,4/24/19,144473,307320,77736
24,3569,114,4/25/19,101124,307484,60834
25,1387,76,4/26/19,55000,307578,37121
26,7022,151,4/27/19,111440,307737,56442
27,3338,87,4/28/19,68976,307862,41204
28,2829,104,4/29/19,98707,308020,60801
29,2715,94,4/30/19,99225,308192,62668
30,2285,106,5/1/19,93434,308383,60904
31,3763,171,5/2/19,115573,308575,68714
32,3452,151,5/3/19,100885,308738,62410
33,7286,110,5/4/19,114113,308919,56025
34,802,16,5/5/19,25232,308988,16169
35,4178,166,5/6/19,121887,309187,69920
36,4055,124,5/7/19,126637,309356,72829
37,4255,131,5/8/19,130821,309530,76398
38,2851,130,5/9/19,105721,309646,66689
39,4427,163,5/10/19,114830,309790,68044
40,10581,133,5/11/19,153674,310021,69788
41,475,9,5/12/19,15759,310063,10730
42,553,19,5/13/19,29434,310141,22300
43,1301,73,5/14/19,61756,310248,42783
44,4484,140,5/15/19,129217,310395,74314
45,5354,174,5/16/19,139278,310590,77889
46,5124,167,5/17/19,126992,310760,72118
47,11292,227,5/18/19,162302,310992,73143
48,10321,193,5/19/19,154638,311245,69920
49,5225,173,5/20/19,133696,311495,74494
50,5088,160,5/21/19,139284,311686,79261
51,5431,153,5/22/19,144186,311888,82021
52,3527,121,5/23/19,93244,312082,56578
53,7322,245,5/24/19,141169,312276,74866
54,10682,279,5/25/19,136772,312484,59492
55,9325,145,5/26/19,118192,312648,49950
56,12124,136,5/27/19,160750,312896,66595
57,2992,96,5/28/19,97330,313092,59435
58,2952,111,5/29/19,87647,313251,55098
59,2831,129,5/30/19,84325,313402,52484
60,7586,261,5/31/19,156832,313606,83347
61,12153,214,6/1/19,164956,313815,76416
62,10419,144,6/2/19,147247,314051,67288
63,6027,152,6/3/19,141960,314327,77678
64,6422,168,6/4/19,150076,314642,83301
65,5166,143,6/5/19,134998,314889,78791
66,6138,183,6/6/19,143619,315121,81323
67,7530,256,6/7/19,150312,315337,82908
68,13831,206,6/8/19,175352,315583,78074
69,12833,121,6/9/19,167597,315861,73954
70,1566,44,6/10/19,54769,316007,37019
71,2429,49,1/1/19,44131,297823,22145
72,1062,36,1/2/19,58975,297908,38249
73,969,31,1/3/19,62500,297976,42181
74,1173,33,1/4/19,65739,298017,44420
75,462,8,1/5/19,24326,298048,17636
76,1711,31,1/6/19,50481,298094,31764
77,514,18,1/7/19,52310,298152,36928
78,654,23,1/8/19,60469,298218,41728
79,646,23,1/9/19,63480,298263,44882
80,478,13,1/10/19,53225,298299,39449
81,465,23,1/11/19,44226,298331,33196
82,772,26,1/12/19,35133,298361,25431
83,700,18,1/13/19,33018,298399,23020
84,402,9,1/14/19,48021,298439,35408
85,511,19,1/15/19,54751,298470,39538
86,513,7,1/16/19,56553,298510,40854
87,463,14,1/17/19,53430,298546,39417
88,542,27,1/18/19,47215,298574,34478
89,865,28,1/19/19,34580,298595,23933
90,368,8,1/20/19,19131,298616,14440
91,141,5,1/21/19,11911,298632,10392
92,315,14,1/22/19,37788,298665,28913
93,526,10,1/23/19,59442,298692,42028
94,260,7,1/24/19,27931,298721,20328
95,621,21,1/25/19,54567,298748,39298
96,933,18,1/26/19,38634,298778,26607
97,1510,19,1/27/19,48280,298828,30338
98,448,13,1/28/19,49109,298878,36173
99,341,12,1/29/19,42066,298919,31355
100,263,8,1/30/19,33178,298947,25496
101,186,8,1/31/19,22917,298975,18882
102,255,11,2/1/19,31752,298998,25289
103,627,19,2/2/19,30802,299032,22280
104,1743,24,2/3/19,52757,299103,32274
105,1180,42,2/4/19,73262,299172,47049
106,1770,42,2/5/19,87917,299249,54710
107,754,27,2/6/19,55696,299296,39616
108,765,22,2/7/19,62728,299341,43840
109,864,22,2/8/19,52442,299383,36964
110,811,10,2/9/19,33607,299409,24041
111,935,6,2/10/19,35873,299449,24434
112,563,20,2/11/19,54362,299493,39197
113,150,4,2/12/19,22190,299521,16044
114,439,21,2/13/19,48870,299551,35523
115,773,26,2/14/19,61381,299589,42313
116,1590,58,2/15/19,74286,299633,47524
117,2030,58,2/16/19,52760,299683,31347
118,1439,30,2/17/19,39660,299711,24287
119,810,17,2/18/19,37500,299757,26176
120,595,10,2/19/19,49024,299810,35226
121,221,15,2/20/19,28763,299835,20694
122,961,37,2/21/19,60375,299871,40082
123,1097,49,2/22/19,61956,299913,42338
124,1635,28,2/23/19,49887,299956,31956
125,992,19,2/24/19,37473,299993,24503
126,495,14,2/25/19,47207,300029,34736
127,524,23,2/26/19,52805,300067,38126
128,464,27,2/27/19,48666,300097,37028
129,652,30,2/28/19,53031,300157,38784
130,522,26,3/1/19,41583,300183,30242
131,570,25,3/2/19,27381,300213,18001
132,1115,22,3/3/19,35764,300264,23240
133,563,23,3/4/19,39154,300319,28424
134,552,24,3/5/19,50155,300367,37103
135,376,27,3/6/19,42845,300409,33287
136,468,15,3/7/19,46582,300450,35913
137,852,32,3/8/19,55748,300503,40416
138,3010,35,3/9/19,68739,300574,38929
139,662,16,3/10/19,28056,300611,18897
140,1749,56,3/11/19,80705,300691,52412
141,1003,40,3/12/19,66518,300757,47214
142,1194,42,3/13/19,71556,300825,50121
143,1826,82,3/14/19,86864,300904,57476
144,2843,119,3/15/19,95073,300987,57517
145,3369,97,3/16/19,74307,301086,42144
146,2755,73,3/17/19,64440,301187,36826
147,1361,54,3/18/19,68775,301278,46535
148,1602,49,3/19/19,78320,301381,52997
149,1723,58,3/20/19,83442,301476,55396
150,342,14,3/21/19,27005,301520,21248
151,1076,51,3/22/19,49691,301579,35477
152,2693,74,3/23/19,61407,301671,37379
153,5896,79,3/24/19,100843,301827,50318
154,1562,64,3/25/19,79824,301952,53463
155,1715,49,3/26/19,81425,302083,55421
156,1583,56,3/27/19,78975,302176,54483
157,1966,87,3/28/19,87465,302430,58538
158,2573,103,3/29/19,91975,302587,59324
159,9151,135,3/30/19,144759,302941,66672
160,1916,52,3/31/19,52486,303060,32768
